taxon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Deltote pygarga,3,1,5,7,16,3,6,4,9,1,2,0,3,0,3
Dendrolimus pini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Diachrysia chrysitis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Diloba caeruleocephala,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Drymonia dodonaea,25,25,9,22,15,19,28,17,19,9,28,7,15,6,7
Drymonia obliterata,2,3,0,1,1,0,0,0,0,0,1,0,0,0,0
Drymonia ruficornis,0,1,0,1,0,0,2,0,0,2,0,0,4,1,0
Dypterygia scabriuscula,0,1,0,0,1,0,0,2,0,0,0,3,0,1,2
Dysauxes ancilla,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0
Earophila badiata,0,0,0,0,1,0,0,2,0,0,0,3,2,0,1
Ecliptopera silaceata,1,1,1,1,1,0,0,7,7,0,0,2,0,0,0
Ectropis crepuscularia,14,10,8,8,4,8,5,7,6,14,16,6,6,11,4
Egira conspicillaris,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
Eilema complana,0,4,9,0,6,0,1,4,0,2,2,3,2,1,0
Eilema depressa,0,0,2,0,2,1,0,0,0,0,2,0,0,2,0
Eilema lurideola,5,4,16,7,17,13,8,14,14,8,11,13,6,4,10
Eilema lutarella,0,2,1,0,6,1,2,11,8,0,1,8,3,2,17
Eilema sororcula,3,11,15,13,16,2,12,4,2,12,7,2,17,10,3
Ematurga atomaria,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Endromis versicolora,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Ennomos erosaria,4,5,2,2,3,9,4,2,2,2,3,1,6,1,1
Ennomos fuscantaria,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0
Epirrhoe alternata,4,5,2,3,4,5,1,11,9,2,6,8,4,2,4
Epirrhoe molluginata,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0
Epirrhoe rivata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Epirrita dilutata,3,5,6,4,8,4,2,9,6,3,3,4,5,5,11
Erannis defoliaria,4,4,9,12,23,7,12,29,20,11,3,4,7,10,13
Eugnorisma depuncta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eulithis prunata,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Eupithecia abbreviata,3,4,3,5,9,3,1,22,18,6,10,95,7,8,17
Eupithecia analoga,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Eupithecia centaureata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eupithecia egenaria,0,3,4,0,3,0,0,0,1,0,0,1,0,0,2
Eupithecia icterata,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3
Eupithecia subfuscata,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Eupithecia tantillaria,0,4,4,0,0,0,0,0,2,0,0,0,0,0,0
Eupithecia tripunctaria,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Euplexia lucipara,0,0,0,0,0,1,1,3,2,0,0,0,0,0,3
Euproctis chrysorrhoea,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eupsilia transversa,9,5,7,4,4,2,14,4,6,10,1,6,7,10,4
Euthrix potatoria,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Euxoa aquilina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Euxoa obelisca,0,0,0,0,0,0,0,1,4,0,0,3,0,0,2
Gandaritis pyraliata,2,8,8,6,3,5,3,9,12,5,2,7,7,3,5
Gymnoscelis rufifasciata,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Habrosyne pyritoides,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Harpyia milhauseri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemithea aestivaria,11,12,5,3,9,6,0,3,6,19,12,1,12,4,4
Herminia grisealis,1,0,0,1,0,0,1,0,4,2,0,5,2,1,0
Herminia tarsipennalis,0,2,0,1,0,0,0,0,0,2,1,0,2,0,0
Hoplodrina ambigua,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0
Hoplodrina blanda,1,3,1,2,14,0,0,2,4,0,1,3,0,0,2
Hoplodrina octogenaria,4,0,7,6,4,8,7,4,11,0,2,5,4,0,4
Hoplodrina respersa,1,2,2,2,3,0,2,2,3,0,0,7,1,0,6
Hydrelia flammeolaria,14,16,23,15,23,15,7,17,12,6,9,9,7,13,8
Hypena proboscidalis,0,1,3,1,2,3,1,1,1,1,3,3,1,1,1
Hypena rostralis,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
Hypomecis punctinalis,3,2,0,1,1,5,2,5,1,4,5,0,2,2,1
Hypomecis roboraria,0,2,4,0,7,1,0,2,2,0,2,0,5,1,0
Charanyca trigrammica,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0
Chesias legatella,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chiasmia clathrata,1,1,0,1,7,0,0,8,14,0,0,9,0,2,14
Chloroclysta siterata,0,2,1,1,2,0,0,1,2,1,1,0,0,0,0
Chloroclystis v-ata,0,1,3,0,2,0,0,0,0,0,2,0,1,0,0
Idaea aversata,8,11,8,6,28,21,12,23,20,6,15,31,16,12,26
Idaea biselata,6,3,18,7,31,22,17,19,20,9,5,16,8,8,23
Idaea degeneraria,3,3,1,2,4,2,1,2,10,1,4,0,4,1,1
Idaea deversaria,0,0,1,3,6,2,1,4,0,1,1,0,6,4,1
Idaea dilutaria,0,0,2,0,4,1,2,2,4,0,2,11,1,0,8
Idaea humiliata,0,0,0,0,0,1,0,8,5,0,0,6,1,0,4
Idaea moniliata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Idaea muricata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Idaea rusticata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Idaea straminata,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4
Lacanobia oleracea,0,0,0,2,3,0,0,1,0,2,0,0,0,0,1
Lacanobia thalassina,0,1,0,0,0,1,0,3,1,0,0,2,0,1,0
Lampropteryx suffumata,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Laothoe populi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Laspeyria flexula,0,4,6,0,4,0,3,1,10,0,5,0,2,2,5
Leucodonta bicoloria,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Ligdia adustata,4,4,1,5,3,1,5,1,4,0,2,1,3,2,2
Lithophane ornitopus,7,1,2,5,4,2,9,4,8,4,1,15,3,4,6
Lithophane socia,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Lithosia quadra,3,14,5,9,16,18,4,21,16,8,7,9,12,4,6
Lobophora halterata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lomaspilis marginata,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
Lomographa bimaculata,4,11,0,1,1,0,0,2,6,5,2,0,2,9,1
Lomographa temerata,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Lycia hirtaria,16,3,2,1,9,2,11,9,2,17,43,9,2,27,16
Lycia pomonaria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lygephila craccae,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Lymantria monacha,1,0,2,0,0,2,0,1,1,0,1,0,0,0,0
Macaria alternata,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Macaria liturata,0,0,1,0,1,0,2,1,0,0,1,0,1,0,0
Macaria notata,6,5,5,10,10,0,5,4,3,2,3,0,13,3,0
Macaria wauaria,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0
Mamestra brassicae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Meganola albula,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mesapamea secalis,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Mesogona acetosellae,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mesoleuca albicillata,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mesoligia furuncula,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Miltochrista miniata,2,3,12,8,13,14,7,11,3,8,9,3,6,10,6
Mniotype satura,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Moma alpium,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Mythimna albipuncta,0,1,0,0,4,0,0,9,2,0,1,4,1,0,7
Mythimna conigera,0,0,0,0,0,0,0,5,1,0,0,4,0,0,3
Mythimna ferrago,0,0,0,0,0,1,0,1,1,0,0,4,0,0,2
Mythimna vitellina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Noctua comes,3,0,2,2,5,0,0,4,3,0,3,1,0,0,8
Noctua fimbriata,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Noctua interposita,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Noctua janthina,11,22,9,11,18,16,6,7,23,9,6,23,14,6,8
Noctua pronuba,3,3,0,1,8,0,2,2,5,2,0,2,0,2,0
Nothocasis sertata,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Notodonta dromedarius,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Notodonta tritophus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nudaria mundana,0,0,2,0,1,0,4,0,0,0,6,0,1,0,0
Odontopera bidentata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ochropleura plecta,1,0,0,0,6,0,0,13,9,0,1,12,0,0,28
Oligia latruncula,0,0,1,0,1,1,3,0,2,1,0,1,1,3,1
Oligia strigilis,0,0,1,0,0,0,1,0,0,0,0,3,1,0,1
Operophtera brumata,38,46,37,29,66,37,32,51,40,33,63,81,35,52,50
Opisthograptis luteolata,1,3,1,3,2,2,0,1,0,1,1,3,2,2,0
Orthosia cerasi,73,55,37,77,56,48,62,94,88,78,27,291,178,44,207
Orthosia cruda,187,133,117,124,132,62,164,127,164,124,321,142,65,191,94
Orthosia gothica,1,12,1,4,19,12,29,7,30,2,23,53,13,11,27
Orthosia incerta,16,22,2,8,1,5,15,11,2,14,6,16,6,5,13
Orthosia miniosa,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0
Orthosia populeti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ourapteryx sambucaria,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0
Pabulatrix pabulatricula,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Paracolax tristalis,47,37,64,65,41,70,64,49,34,45,67,37,115,37,27
Paradarisa consonaria,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Parectropis similaria,3,3,5,3,21,7,2,11,6,4,4,5,5,7,11
Pechipogo strigilata,1,1,1,0,1,0,2,0,1,1,2,2,2,1,0
Peribatodes rhomboidaria,11,10,18,8,11,15,8,6,21,8,8,10,14,9,9
Peridea anceps,5,6,1,1,1,7,5,5,2,6,3,3,6,4,1
Perizoma alchemillata,0,1,1,0,5,1,2,1,9,0,1,1,0,1,4
Phalera bucephala,3,6,3,2,2,1,0,2,9,0,2,0,2,1,0
Philereme transversata,2,2,0,0,0,1,0,0,2,0,0,0,0,0,3
